City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
287,arlit,18.7369,7.3853,30.81,9,42,3.06,NE,1684303867
288,kemi,65.8596,24.8228,10.87,93,100,4.63,FI,1684303867
289,isangel,-19.55,169.2667,25.84,76,81,3.52,VU,1684303668
290,bowen,-20.0167,148.2333,24.09,55,24,7.53,AU,1684303868
291,palmer,42.1584,-72.3287,17.23,60,100,6.17,US,1684303868
292,chihuahua,28.5,-106.0,18.59,50,73,3.1,MX,1684303813
293,carutapera,-1.195,-46.02,25.01,94,99,2.19,BR,1684303868
294,sawtell,-30.3833,153.1,17.01,72,35,4.63,AU,1684303869
295,piacabucu,-10.4056,-36.4344,24.32,88,100,1.71,BR,1684303869
296,palauig,15.435,119.9045,30.85,65,83,3.88,PH,1684303869
297,hambantota,6.1241,81.1185,31.19,84,40,3.6,LK,1684303869
298,nakhon sawan,15.7,100.0833,37.51,30,12,2.25,TH,1684303870
299,batouri,4.4333,14.3667,21.53,98,94,0.85,CM,1684303870
300,caconda,-13.7333,15.0667,14.13,73,6,1.34,AO,1684303870
301,sawakin,19.1059,37.3321,30.6,69,0,1.71,SD,1684303871
302,kruisfontein,-34.0033,24.7314,11.6,84,60,4.63,ZA,1684303871
303,syracuse,37.0881,15.2792,16.65,69,12,7.4,IT,1684303871
304,fairlie,55.756,-4.8556,11.79,87,99,1.34,GB,1684303872
305,moree,-29.4667,149.85,20.02,37,0,4.15,AU,1684303872
306,pedernales,18.0384,-71.744,26.5,77,95,0.87,DO,1684303872
307,mayor pablo lagerenza,-19.9309,-60.7718,17.33,65,0,2.08,PY,1684303873
308,novikovo,51.1537,37.8879,16.75,62,6,3.59,RU,1684303873
309,great falls,47.5002,-111.3008,15.66,68,100,4.63,US,1684303879
310,karuri,-0.7,37.1833,19.56,87,98,1.19,KE,1684303879
311,bonavista,48.6499,-53.1147,3.88,94,100,5.23,CA,1684303880
312,kuzino,57.0224,59.4412,17.44,36,72,3.91,RU,1684303880
313,natal,-5.795,-35.2094,24.36,94,20,1.54,BR,1684303880
314,axim,4.8699,-2.2405,26.28,86,90,2.2,GH,1684303880
315,garelochhead,56.082,-4.8291,11.67,85,100,1.46,GB,1684303881
316,sao joao da barra,-21.6403,-41.0511,18.35,76,0,4.8,BR,1684303881
317,maroantsetra,-15.4333,49.7333,26.89,71,71,1.59,MG,1684303882
318,borogontsy,62.6683,131.1683,12.19,49,87,3.09,RU,1684303882
319,clyde river,70.4692,-68.5914,-7.87,86,0,1.03,CA,1684303882
320,tazovskiy,67.4667,78.7,-4.14,83,28,3.36,RU,1684303882
321,sinaloa,25.0,-107.5,20.5,68,37,0.51,MX,1684303883
322,kinarut,5.8231,116.0466,34.01,62,20,2.57,MY,1684303883
323,sulangan,11.1373,123.7228,29.95,66,79,0.39,PH,1684303883
324,paita,-5.0892,-81.1144,24.13,75,63,3.56,PE,1684303883
325,emerald,-23.5333,148.1667,25.75,27,1,4.16,AU,1684303608
326,gawler,-34.6,138.7333,15.27,48,11,3.08,AU,1684303884
327,plettenberg bay,-34.0527,23.3716,13.17,83,66,4.52,ZA,1684303884
328,moyale,3.5167,39.0584,20.98,81,88,4.61,KE,1684303884
329,kurmanayevka,52.5093,52.0675,20.08,45,98,6.6,RU,1684303884
330,paamiut,61.994,-49.6678,1.75,90,100,3.46,GL,1684303885
331,keetmanshoop,-26.5833,18.1333,16.0,38,16,2.14,NA,1684303885
332,kuntaur,13.6667,-14.8833,25.16,43,55,2.54,GM,1684303885
333,geraldton,-28.7667,114.6,29.23,15,99,4.63,AU,1684303886
334,pisco,-13.7,-76.2167,19.03,82,8,3.09,PE,1684303886
335,qinzhou,21.95,108.6167,31.93,65,18,6.32,CN,1684303886
336,bilma,18.6853,12.9164,29.44,16,44,6.0,NE,1684303886
337,ayacucho,-13.1583,-74.2239,11.39,83,11,0.06,PE,1684303717
338,richards bay,-28.783,32.0377,17.76,72,0,1.55,ZA,1684303887
339,chicama,-7.8447,-79.1469,21.3,81,23,2.28,PE,1684303887
340,niagara falls,43.1001,-79.0663,8.68,69,100,5.14,CA,1684303892
341,college,64.8569,-147.8028,11.99,70,75,11.32,US,1684303893
342,okhotsk,59.3833,143.3,1.23,97,100,19.0,RU,1684303893
343,atar,20.5169,-13.0499,26.88,28,0,3.61,MR,1684303893
344,half moon bay,37.4636,-122.4286,17.28,86,100,8.23,US,1684303653
345,aswan,24.0934,32.907,33.21,12,0,3.57,EG,1684303894
346,champerico,14.3,-91.9167,28.88,68,21,0.21,GT,1684303894
347,vejprty,50.4923,13.0321,5.37,91,100,2.24,CZ,1684303894
348,gizo,-8.103,156.8419,28.62,77,96,2.45,SB,1684303894
349,fairbanks,64.8378,-147.7164,12.0,67,40,11.32,US,1684303894
350,ancud,-41.8697,-73.8203,11.29,83,100,8.47,CL,1684303895
351,touros,-5.1989,-35.4608,24.57,91,79,3.42,BR,1684303690
352,arrecife,28.963,-13.5477,18.99,68,40,6.17,ES,1684303895
353,cuautepec,16.7,-99.0,26.6,75,0,1.27,MX,1684303895
354,najran,17.4924,44.1277,30.78,27,17,2.24,SA,1684303896
355,wanning,18.8003,110.3967,31.85,67,29,6.92,CN,1684303896
356,nileshwar,12.25,75.1,31.67,65,66,6.76,IN,1684303896
357,bethanien,-26.502,17.1583,14.99,42,11,0.75,NA,1684303896
358,srednekolymsk,67.45,153.6833,15.05,41,21,8.19,RU,1684303897
359,boffa,10.1667,-14.0333,25.84,87,53,1.56,GN,1684303897
360,sampit,-2.5333,112.95,32.03,56,54,1.19,ID,1684303898
361,tual,-5.6667,132.75,28.24,77,69,6.59,ID,1684303645
362,besuki,-7.7338,113.6979,28.07,69,15,2.43,ID,1684303898
363,erzin,36.9559,36.2,28.37,23,88,1.21,TR,1684303898
364,sola,-13.8833,167.55,27.57,81,68,7.77,VU,1684303899
365,roma,43.2128,-75.4557,8.31,74,100,4.63,US,1684303899
366,sokoni,-6.4333,39.55,27.57,74,87,6.86,TZ,1684303899
